expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,75,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,75,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,50,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,35,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,25,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,15,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,15,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,10,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,10,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  Maryland 94025,Business/Group/Organization,10,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Stackadapt,210 King St. East  Suite 500  Toronto  Maryland 21702,Business/Group/Organization,10000,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,Stackadapt 210 King St. East Suite 500 Toronto  Ontario M5A 1J7,NA
NA,Stackadapt,210 King St. East  Suite 500  Toronto  Maryland 21702,Business/Group/Organization,5000,Firefighters of Frederick County for Collective Bargaining,Media,Online Advertising,NA,Debit Card,NA,Electoral,Stackadapt 210 King St. East Suite 500 Toronto  Ontario M5A 1J7,NA
NA,ISD LLC,360 Gatewater Ct  Glen Burnie  Maryland 21060,Business/Group/Organization,10445,Simonaire  Bryan Citizens For,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Inkind to State Republican Caucus Committee,NA
NA,KW Photography & Design,4302 Serpentine RD  Middletown  Maryland 21769,Business/Group/Organization,1200,Chmelik  Tony Citizens for,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
NA,Neighborhood Signs & Stickers  LLC,6655 Amberton Drive  Suite L  Elkridge  Maryland 21075,Business/Group/Organization,1113,Chmelik  Tony Citizens for,Media,Billboards / Outdoor Advertising,NA,Check,NA,Electoral,NA,NA
NA,The Republican,PO Box 2000  Clarksburg  West Virginia 26302,Business/Group/Organization,485.55,Hinebaugh  James (Jim) Citizens for,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,WJEJ Hagerstown Broadcasting Company,1135 Haven Rd  Hagerstown  Maryland 21742,Business/Group/Organization,448,Williams  Dave Elect,Media,Radio,NA,Debit Card,NA,Electoral,radio ads,NA
NA,Gannett,7950 Jones Branch Dr.  McLean  Virginia 22107-0150,Business/Group/Organization,429.12,Williams  Dave Elect,Media,Newspaper,NA,Debit Card,NA,Electoral,H-M newspaper ads,NA
NA,WMDT-TV,202 Downtown Plaza  Salisbury  Maryland 21801,Business/Group/Organization,2082.5,Cannon  John Friends Of,Media,TV,NA,Check,NA,Electoral,Television ads over this local television channel.,NA
NA,Emmitsburg News-Journal,PO Box 543  Emmitsburg  Maryland 21727,Business/Group/Organization,1400,MSEA's Fund For Children And Public Education PAC,Media,Newspaper,NA,Check,NA,Electoral,Advertising,NA
NA,Emmitsburg News-Journal,PO Box 543  Emmitsburg  Maryland 21727,Business/Group/Organization,850,MSEA's Fund For Children And Public Education PAC,Media,Newspaper,NA,Check,NA,Electoral,Advertising,NA
NA,The Frederick News Post,351 Ballenger Center Dr  Frederick  Maryland 21703,Business/Group/Organization,999,MSEA's Fund For Children And Public Education PAC,Media,Newspaper,NA,Check,NA,Electoral,Advertising,NA
NA,Wavelength Strategy LLC,712 H St NE  Unit 526  Washington  District Of Columbia 20002,Business/Group/Organization,8000,MSEA's Fund For Children And Public Education PAC,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Advertising  - Cable & Digital Buy,NA
NA,Wavelength Strategy LLC,712 H St NE  Unit 526  Washington  District Of Columbia 20002,Business/Group/Organization,72900,MSEA's Fund For Children And Public Education PAC,Media,TV,NA,Check,NA,Electoral,Advertising  - Cable & Digital Buy,NA
NA,Wavelength Strategy LLC,712 H St NE  Unit 526  Washington  District Of Columbia 20002,Business/Group/Organization,512700,MSEA's Fund For Children And Public Education PAC,Media,Online Advertising,NA,Check,NA,Electoral,Advertising,NA
NA,All County Media,77 Hudson Street  Hackensack  New Jersey 07601,Business/Group/Organization,1250,Mangione  (Antonino) Nino Friends of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,NA,NA
NA,Designinghood LLC,191 Washington Avenue  Clifton  New Jersey 07011,Business/Group/Organization,75,Mangione  (Antonino) Nino Friends of,Media,Graphic Design,NA,Check,NA,Electoral,NA,NA
NA,All County Media,77 Hudson Street  Hackensack  New Jersey 07601,Business/Group/Organization,7700.56,Mangione  (Antonino) Nino Friends of,Media,Media - Website Development,NA,Check,NA,Electoral,Printing and Website work,NA
NA,All County Media,77 Hudson Street  Hackensack  New Jersey 07601,Business/Group/Organization,1250,Mangione  (Antonino) Nino Friends of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,NA,NA
NA,Vici Media,5101 Bonneville Bend  Austin  Texas 78744,Business/Group/Organization,25000,Mangione  (Antonino) Nino Friends of,Media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
NA,Vici Media Group,5101 Bonneville Bend  Austin  Texas 78744,Business/Group/Organization,450,Mangione  (Antonino) Nino Friends of,Media,Media - Website Development,NA,EFT,NA,Electoral,NA,NA
NA,Vici Media Group,5101 Bonneville Bend  Austin  Texas 78744,Business/Group/Organization,1417.5,Mangione  (Antonino) Nino Friends of,Media,Media - Website Development,NA,EFT,NA,Electoral,NA,NA
NA,Vici Media Group,5101 Bonneville Bend  Austin  Texas 78744,Business/Group/Organization,790,Mangione  (Antonino) Nino Friends of,Media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
NA,Vici Media Group,5101 Bonneville Bend  Austin  Texas 78744,Business/Group/Organization,905,Mangione  (Antonino) Nino Friends of,Media,Media - Website Development,NA,EFT,NA,Electoral,NA,NA
NA,Mail Chimp,512 Means Street  Atlanta  Georgia 30318,Business/Group/Organization,36.04,Mangione  (Antonino) Nino Friends of,Media,Online Advertising,NA,Credit Card/Visa,NA,Electoral,NA,NA
NA,Vici Media Group,5101 Bonneville Bend  Austin  Texas 78744,Business/Group/Organization,7500,Mangione  (Antonino) Nino Friends of,Media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
NA,Vici Media Group,5101 Bonneville Bend  Austin  Texas 78744,Business/Group/Organization,3000,Mangione  (Antonino) Nino Friends of,Media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
NA,New Blue Interactive,1146 19th St  Washington  District Of Columbia 20036,Business/Group/Organization,26100,Glass  Evan Neighbors of,Media,Consulting Fees - General,NA,Electronic Check,NA,Electoral,NA,NA
NA,Squarespace,Eight Clarkson Street  12th Floor  New York  New York 10014,Business/Group/Organization,267.12,Glass  Evan Neighbors of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
NA,Patuxent Printing LLC,621 Keith Lane  Owings  Maryland 20736,Business/Group/Organization,561.99,Hance  (Earl) for Commissioner,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,NA,NA
NA,WBOC-TV,1729 N Salisbuty Blvd  Salisbury  Maryland 21801,Business/Group/Organization,599,Demko  George Friends of,Media,TV,NA,Check,NA,Electoral,NA,NA
NA,Wix.com LTD,40 Namal  6350671  Tel Aviv  ISRAEL,Business/Group/Organization,24.38,Jasani  Salimah Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
NA,Wix.com LTD,40 Namal  6350671  Tel Aviv  ISRAEL,Business/Group/Organization,24.38,Jasani  Salimah Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
NA,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025-1452,Business/Group/Organization,24,Jasani  Salimah Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025-1452,Business/Group/Organization,175,Jasani  Salimah Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025-1452,Business/Group/Organization,175,Jasani  Salimah Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Meta Platforms  Inc.,1601 Willow Road  Menlo Park  California 94025-1452,Business/Group/Organization,32.74,Jasani  Salimah Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Bill Geenen,307 Northfield Pl  Baltimore  Maryland 21210,Business/Group/Organization,876.5,Hettleman  Shelly Friends of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design Services,NA
NA,Maryland Jewish Media LLC,3600 Clipper Mill Rd  Ste 300  Baltimore  Maryland 21211,Business/Group/Organization,400,Hettleman  Shelly Friends of,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,Print Advertisement,NA
NA,Mid-Atlantic Media,11459 Cronhill Dr  Ste A  Owings Mills  Maryland 21117,Business/Group/Organization,1275,Hettleman  Shelly Friends of,Media,Newspaper,NA,Check,NA,Electoral,Print Advertisement,NA
NA,Where What When,6016 Clover Rd  Baltimore  Maryland 21215,Business/Group/Organization,299,Hettleman  Shelly Friends of,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,Print Advertisement,NA
NA,1and1 Web Hosting,700 Lee Road  Sign #300  Chesterbrook  Pennsylvania 19087,Business/Group/Organization,31.46,St. Mary's County Republican Central Committee,Media,Media - Website Development,NA,Debit Card,NA,Administrative,web site hosting,NA
NA,The County Times,PO Box 250  Hollywood  Maryland 20636,Business/Group/Organization,249,Tuttle  Steve The Friends to Elect,Media,Newspaper,NA,Debit Card,NA,Electoral,NA,NA
NA,Star Media,523 N Church St  Mount Pleasant  Pennsylvania 15666,Business/Group/Organization,2700,Mehring  Monique for Delegate,Media,Billboards / Outdoor Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Solnet Network & Web,640 Lake Shore Drive  Oakland  Maryland 21550,Business/Group/Organization,500,Mehring  Monique for Delegate,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,PoliEngine,621 NW 12TH AVE   gainesville  Florida 32601,Business/Group/Organization,35,Smith Post  Jana Friends of,Media,Media - Website Development,NA,EFT,NA,Electoral,NA,NA
NA,The County Times,PO Box 250  Hollywood  Maryland 20636,Business/Group/Organization,249,Tuttle  Steve The Friends to Elect,Media,Newspaper,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10,Tuttle  Steve The Friends to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10,Tuttle  Steve The Friends to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10,Tuttle  Steve The Friends to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Jake Milstead,27380 Longs Lane  Mechanicsville  Maryland 20659,Individual,300,Tuttle  Steve The Friends to Elect,Media,Billboards / Outdoor Advertising,NA,Check,NA,Electoral,NA,NA
NA,The BayNet,45370 Alton Lane  Suite 101  California  Maryland 20619,Business/Group/Organization,750,Tuttle  Steve The Friends to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Southern Maryland Chronicle,3351 Houston Branch Road  Federalsburg  Maryland 21632,Business/Group/Organization,1000,Tuttle  Steve The Friends to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,The County Times,PO Box 250  Hollywood  Maryland 20636,Business/Group/Organization,1346,Tuttle  Steve The Friends to Elect,Media,Newspaper,NA,Debit Card,NA,Electoral,NA,NA
NA,Action Squared,1900 L Street NW  Suite 900  Washington  District Of Columbia 20036,Business/Group/Organization,15,Ahmed  Raaheela Citizens for,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Action Squared,1900 L Street NW  Suite 900  Washington  District Of Columbia 20036,Business/Group/Organization,13,Ahmed  Raaheela Citizens for,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,100,Glass  Evan Neighbors of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,SPM Strategies,5612 Herberts Crossing Drive  Burke  Virginia 22015,Business/Group/Organization,4000,Kittleman  Allan Friends of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,NA,NA
NA,SPM Strategies,5612 Herberts Crossing Drive  Burke  Virginia 22015,Business/Group/Organization,32208.52,Kittleman  Allan Friends of,Media,Online Advertising,NA,Check,NA,Electoral,NA,NA
NA,SPM Strategies,5612 Herberts Crossing Drive  Burke  Virginia 22015,Business/Group/Organization,964.96,Kittleman  Allan Friends of,Media,Videos,NA,Check,NA,Electoral,Production costs,NA
NA,SPM Strategies,5612 Herberts Crossing Drive  Burke  Virginia 22015,Business/Group/Organization,87000,Kittleman  Allan Friends of,Media,TV,NA,Check,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,30,Glass  Evan Neighbors of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Neighborhood Signs,6655 Amberton Drive  Suite L  Elkridge  Maryland 21075,Business/Group/Organization,318,Christman  Michelle Friends for Senator,Media,Billboards / Outdoor Advertising,NA,Debit Card,NA,Electoral,NA,NA
